subset,condition,method,K,R2_mean,R2_lo,R2_hi
ALL59,EC,ICA,1,0.019367253977715843,0.016712132767961317,0.022441435991459195
ALL59,EC,ICA,4,0.07768031953176993,0.0702486668106319,0.08536351519896974
ALL59,EC,ICA,9,0.20611415706494196,0.19066597277499547,0.2221441345303841
ALL59,EC,ICA,16,0.45432941662704185,0.4319679595751462,0.4775254252206959
ALL59,EC,ICA,25,0.7798540813919915,0.7623653752545397,0.7978141127142692
ALL59,EC,ICA,36,0.9505734713127204,0.9438179269529016,0.956590401306952
ALL59,EC,ICA,49,0.9963999594425283,0.9955771137990775,0.9970374106997294
ALL59,EC,LB,1,0.28922620479238637,0.2696545238013971,0.30982168521739567
ALL59,EC,LB,4,0.5648349179612299,0.5433766090666979,0.5852265145740143
ALL59,EC,LB,9,0.7198917729350954,0.7038938103546268,0.7349082678458537
ALL59,EC,LB,16,0.8376230090772956,0.8249108020694524,0.8496781869733153
ALL59,EC,LB,25,0.9157915938693179,0.9077788131451245,0.9232708559955906
ALL59,EC,LB,36,0.9565722448121899,0.9514073278560506,0.961197641839463
ALL59,EC,LB,49,0.9864940447368268,0.9839839581958723,0.9885962927819549
ALL59,EC,PCA,1,0.028483812438655734,0.025496200996342793,0.031824457499048546
ALL59,EC,PCA,4,0.0754920259396912,0.06682219661245227,0.08493958554757423
ALL59,EC,PCA,9,0.14716436719107948,0.13170689160077179,0.16256084295856946
ALL59,EC,PCA,16,0.47457862785484756,0.43804411604711896,0.5106802962235863
ALL59,EC,PCA,25,0.9016466796781019,0.8878232130625778,0.914738702068535
ALL59,EC,PCA,36,0.9917075345556534,0.9905490315398983,0.9927529604496043
ALL59,EC,PCA,49,0.9995491130720137,0.9994677878451542,0.9996205180418554
ALL59,EC,SPH,1,1.9708476674881897e-14,1.9294616320432843e-14,2.0137660073119128e-14
ALL59,EC,SPH,4,0.4373379218889332,0.41712137621198103,0.4581498827961607
ALL59,EC,SPH,9,0.7157301976980679,0.6972029060085116,0.732931436579946
ALL59,EC,SPH,16,0.8505729058475829,0.8374056365019054,0.8624377450132585
ALL59,EC,SPH,25,0.9148654798855513,0.9066423766855762,0.9223515888091811
ALL59,EC,SPH,36,0.9595310579076202,0.9543340300485826,0.9641174247035863
ALL59,EC,SPH,49,0.9887709218170568,0.9863254117984476,0.9909011694617914
ALL59,EO,ICA,1,0.024366385068708828,0.021749001629033586,0.027316897835775768
ALL59,EO,ICA,4,0.09796165809504051,0.08950004152479074,0.10680549894110503
ALL59,EO,ICA,9,0.2357079628057984,0.2188566841761061,0.2524391548294322
ALL59,EO,ICA,16,0.47731990128930013,0.45640566942822075,0.49700140734208864
ALL59,EO,ICA,25,0.7748562278656299,0.7561766089309867,0.7925997802674762
ALL59,EO,ICA,36,0.9467334134747661,0.9388389062246828,0.9531518763575728
ALL59,EO,ICA,49,0.9957168904490165,0.9949583024136145,0.9964146636344569
ALL59,EO,LB,1,0.15552028257164746,0.13542823988715175,0.1756678185171503
ALL59,EO,LB,4,0.44128767758010723,0.41861004809589886,0.4640873817691288
ALL59,EO,LB,9,0.6343568276774075,0.6151525294798694,0.6546245989803782
ALL59,EO,LB,16,0.7567746305206084,0.7408423074874866,0.7721262156561495
ALL59,EO,LB,25,0.8672462201598541,0.8563541189938073,0.8780904965786788
ALL59,EO,LB,36,0.9254589838296445,0.9167677355749719,0.9331732832671583
ALL59,EO,LB,49,0.9740292568564568,0.9701451172712049,0.9773751103453714
ALL59,EO,PCA,1,0.03922997980437212,0.03539781941256929,0.043538534142267
ALL59,EO,PCA,4,0.10381289432467185,0.09608411273461707,0.11195521579961182
ALL59,EO,PCA,9,0.19487602184882993,0.18015249892680066,0.2099150259056996
ALL59,EO,PCA,16,0.4824541541978096,0.4537412563868603,0.5113222213408106
ALL59,EO,PCA,25,0.8996421605944487,0.8869189158673121,0.9113540327576283
ALL59,EO,PCA,36,0.9892908352172771,0.987714463372776,0.9907491107045848
ALL59,EO,PCA,49,0.9994098325164354,0.9992996877803938,0.9995074989446611
ALL59,EO,SPH,1,2.2382690559964217e-14,2.1861048970511264e-14,2.2954631458878907e-14
ALL59,EO,SPH,4,0.3558595287334291,0.33181821308374004,0.3800798533051327
ALL59,EO,SPH,9,0.6221692506485488,0.6014434694815393,0.642902261378809
ALL59,EO,SPH,16,0.7931262996211329,0.7765991861919355,0.8084978609875046
ALL59,EO,SPH,25,0.8753782542634324,0.8631169668299795,0.8863814320098191
ALL59,EO,SPH,36,0.9299003149321001,0.9218451760831071,0.9376926990459544
ALL59,EO,SPH,49,0.9778212200640388,0.9737344803015506,0.9815956748139675
canonical_19,EC,ICA,1,0.026013829408854425,0.022249677607359047,0.030227901251155063
canonical_19,EC,ICA,4,0.09834915942382917,0.08807163502180605,0.10910535037422826
canonical_19,EC,ICA,9,0.28878012763037886,0.2660203082668727,0.3107422736496229
canonical_19,EC,ICA,16,0.8690805219321304,0.8462355634764496,0.8902105467231535
canonical_19,EC,LB,1,0.31025725071579924,0.2879216443300558,0.3320498487108129
canonical_19,EC,LB,4,0.5870686383765737,0.5633700780340073,0.6101501382687274
canonical_19,EC,LB,9,0.7965184153070188,0.7826966067203643,0.8095651375662478
canonical_19,EC,LB,16,0.9681806284694676,0.9629943720637707,0.9728002382248627
canonical_19,EC,PCA,1,0.032552020829168055,0.029174598799223166,0.03655855064963437
canonical_19,EC,PCA,4,0.08747312025023296,0.07779898977759338,0.09919091263532073
canonical_19,EC,PCA,9,0.19548753502217794,0.1738967639668962,0.2167783621393053
canonical_19,EC,PCA,16,0.9101997688362838,0.8835964719632695,0.9350120673021753
canonical_19,EC,SPH,1,6.186532110890859e-14,6.053049430526316e-14,6.324556602543792e-14
canonical_19,EC,SPH,4,0.49108274758551806,0.4684484653396304,0.5146100256383018
canonical_19,EC,SPH,9,0.8039752452438789,0.7852866586115508,0.8213371147871578
canonical_19,EC,SPH,16,0.9595827604961871,0.9531144231559093,0.9654692654555096
canonical_19,EO,ICA,1,0.034724648409948794,0.030887933599273193,0.03895302302563015
canonical_19,EO,ICA,4,0.1218128251365264,0.11192516828848298,0.13289747089836032
canonical_19,EO,ICA,9,0.3490290702178556,0.32636034833540734,0.3710167345974088
canonical_19,EO,ICA,16,0.881394545037636,0.8619142241037857,0.9000908334008576
canonical_19,EO,LB,1,0.16421378376789095,0.1428088617874809,0.1856155712857212
canonical_19,EO,LB,4,0.44677753364102457,0.42297947619586185,0.4713291261274827
canonical_19,EO,LB,9,0.7233109056369531,0.7062847627355278,0.741308500263893
canonical_19,EO,LB,16,0.9413402627505898,0.9320624341808144,0.9499028487551081
canonical_19,EO,PCA,1,0.04743112056871563,0.04313709670562034,0.052177384727868655
canonical_19,EO,PCA,4,0.12338783057548289,0.11505035691618445,0.13260885975485964
canonical_19,EO,PCA,9,0.25037010741724613,0.23142731965222962,0.26933710832115487
canonical_19,EO,PCA,16,0.923106739365929,0.9031427842856076,0.9411949619210025
canonical_19,EO,SPH,1,7.072542200556662e-14,6.885095369778332e-14,7.277085790252434e-14
canonical_19,EO,SPH,4,0.39081345597738043,0.36544034161692895,0.41583840901536234
canonical_19,EO,SPH,9,0.7151836094441186,0.6956555168391234,0.7358112497550332
canonical_19,EO,SPH,16,0.9383979219117042,0.9283887639575894,0.9474557524840093
canonical_32,EC,ICA,1,0.019350768616401916,0.017349090013817944,0.021445651044777154
canonical_32,EC,ICA,4,0.08629691493957369,0.07796363760150278,0.09535554965501836
canonical_32,EC,ICA,9,0.2535066212213507,0.2331368425781839,0.2741452151207842
canonical_32,EC,ICA,16,0.5746100787017119,0.5494129159522189,0.600806322311337
canonical_32,EC,ICA,25,0.9287277122427728,0.9161722240936726,0.939887605432802
canonical_32,EC,LB,1,0.32053006930808836,0.2976078267107422,0.3423611555897216
canonical_32,EC,LB,4,0.605870116063054,0.5837775641183902,0.62818095374223
canonical_32,EC,LB,9,0.7697013177018018,0.7541591035218675,0.7848830804262645
canonical_32,EC,LB,16,0.8830374950002604,0.8730115530778216,0.892574386673439
canonical_32,EC,LB,25,0.9690135138428854,0.965195890503292,0.9726001687961477
canonical_32,EC,PCA,1,0.02932413121045395,0.02607740023449702,0.03285437968283733
canonical_32,EC,PCA,4,0.0806345384939851,0.07120892132646531,0.09189277596696448
canonical_32,EC,PCA,9,0.1709982828924419,0.15377538608603203,0.19060468795107693
canonical_32,EC,PCA,16,0.6290535240244428,0.5931685583731946,0.6663683635055803
canonical_32,EC,PCA,25,0.9873531499142641,0.9851260480975104,0.9894604358078395
canonical_32,EC,SPH,1,3.641471916130267e-14,3.559827459404151e-14,3.727886575611141e-14
canonical_32,EC,SPH,4,0.4784112424483831,0.45552273209817473,0.5008880058920416
canonical_32,EC,SPH,9,0.7679073315332691,0.7494295691137708,0.7858726003714178
canonical_32,EC,SPH,16,0.8957744638419729,0.8844013126743212,0.906462727831353
canonical_32,EC,SPH,25,0.9658871543237462,0.9601794354634368,0.9704701487072711
canonical_32,EO,ICA,1,0.028582909107247152,0.0250718716284816,0.0324885945390653
canonical_32,EO,ICA,4,0.11813554189146046,0.10776654560334223,0.12909538473207655
canonical_32,EO,ICA,9,0.2880581610911566,0.2686849139542136,0.3079668537524761
canonical_32,EO,ICA,16,0.6017529695639924,0.5780210642539813,0.6249937106773842
canonical_32,EO,ICA,25,0.9278462720177858,0.9193826158224137,0.9362183727083301
canonical_32,EO,LB,1,0.17770844884245707,0.15523568349594544,0.2010731998797003
canonical_32,EO,LB,4,0.4687114376626069,0.4435869648681243,0.49424819302136774
canonical_32,EO,LB,9,0.6822235361489555,0.663270286955015,0.7002189492605877
canonical_32,EO,LB,16,0.8189453474683289,0.805504656381781,0.8313499804220666
canonical_32,EO,LB,25,0.9546675583224249,0.9495162929192685,0.9598371840039702
canonical_32,EO,PCA,1,0.04249900252165698,0.0384102265917268,0.0469188602648266
canonical_32,EO,PCA,4,0.1131992386112583,0.10442818234625914,0.12261640188898622
canonical_32,EO,PCA,9,0.2216528905287219,0.20453095893712087,0.23929098426449424
canonical_32,EO,PCA,16,0.6429985052108719,0.6131527726378532,0.6698692637730029
canonical_32,EO,PCA,25,0.9852290871078807,0.9823176468491116,0.9877068905604619
canonical_32,EO,SPH,1,4.1834218159768985e-14,4.0732122970816706e-14,4.2922713214044405e-14
canonical_32,EO,SPH,4,0.3734473763444763,0.34770047436152746,0.3990263289866076
canonical_32,EO,SPH,9,0.6676188098036325,0.6466974752615112,0.6884195044141932
canonical_32,EO,SPH,16,0.853621801636557,0.8411252556284209,0.8662275392344012
canonical_32,EO,SPH,25,0.9543262856646382,0.9494974868571042,0.9590326793454244
